year,month,month_key,event_type,scenario,impact_direction,impact_strength,target_scope
2022,1,2022-01,거시/사회,연초 경기 전망이 보수적으로 바뀌며 상담 전환 속도가 늦어졌다,하방,중,전체
2022,2,2022-02,거시/사회,대외 뉴스가 불안 심리를 키워 신규 문의가 전월보다 줄었다,하방,중,"FC, GA"
2022,3,2022-03,거시/사회,소비심리 회복으로 보장성 문의가 완만하게 늘었다,상방,중,건강
2022,4,2022-04,거시/사회,가계지출 부담이 커지며 장기 유지형 문의가 뒤로 밀렸다,하방,중,종신
2022,5,2022-05,제도/규제,상품 설명 문구 점검이 길어져 GA 채널의 계약 속도가 느려졌다,하방,중,GA
2022,6,2022-06,제도/규제,서류 기준이 단순화되며 디지털 채널의 마감 속도가 좋아졌다,상방,약,디지털
2022,7,2022-07,제도/규제,심사 기준 강화로 고액 건의 최종 확정이 지연되었다,하방,중,종신
2022,8,2022-08,제도/규제,절판성 안내가 늘면서 건강형 문의가 단기적으로 튀었다,상방,중,건강
2022,9,2022-09,시장 자금 이동,주식시장 강세로 투자 쪽 관심이 커져 보험 탐색이 줄었다,하방,중,연금저축
2022,10,2022-10,시장 자금 이동,금리 하락 기대가 커지며 연금형 문의가 늘었다,상방,중,연금저축
2022,11,2022-11,시장 자금 이동,예금 선호가 살아나면서 저축성 문의가 반짝 증가했다,상방,약,연금저축
2022,12,2022-12,시장 자금 이동,투자형 자산 쏠림이 강해져 보험 상담 우선순위가 낮아졌다,하방,중,전체
2023,1,2023-01,경쟁사 공격,경쟁사가 목적종신 중심 리워드를 집중 전개해 종신 유입이 흔들렸다,하방,강,종신
2023,2,2023-02,경쟁사 공격,경쟁사가 건강형 온라인 캠페인을 넓혀 디지털 문의를 빼앗았다,하방,중,디지털
2023,3,2023-03,경쟁사 공격,경쟁사 교육 일정이 몰리며 GA 채널에서 경쟁사 쏠림이 생겼다,하방,중,GA
2023,4,2023-04,경쟁사 공격,경쟁사가 고연령 대상 특화 상품을 밀어 시니어 문의가 분산되었다,하방,중,건강
2023,5,2023-05,계절성,설 연휴 전후로 업무일이 짧아져 월초 실적이 눌렸다,하방,중,전체
2023,6,2023-06,계절성,여름 휴가철 영향으로 대면 미팅이 줄어 FC 반응이 약해졌다,하방,중,FC
2023,7,2023-07,계절성,연말 마감 집중으로 월말 물량이 예상보다 크게 몰렸다,상방,강,전체
2023,8,2023-08,계절성,세무·정산 일정과 겹쳐 상담 일정이 뒤로 밀렸다,하방,약,GA
2023,9,2023-09,내부 운영,신상품 안내자료가 바뀌며 건강형 설명 품질이 올라갔다,상방,중,건강
2023,10,2023-10,내부 운영,교육 자료가 늦어져 일부 채널의 첫 반응이 약했다,하방,중,"FC, GA"
2023,11,2023-11,내부 운영,판촉비 집행이 앞당겨져 월초 문의가 먼저 늘었다,상방,중,전체
2023,12,2023-12,내부 운영,콜백 대응 속도가 빨라져 디지털 전환율이 개선되었다,상방,약,디지털
2024,1,2024-01,채널특이,FC 실적이 점포 단위로 고르게 퍼지며 변동성이 줄었다,상방,약,FC
2024,2,2024-02,채널특이,GA의 대형 거래가 한 번에 몰려 월간 흐름이 흔들렸다,상방,중,GA
2024,3,2024-03,채널특이,AFC에서 고액 계약이 몇 건 지연되며 마감이 약했다,하방,중,AFC
2024,4,2024-04,채널특이,금융서비스 채널의 연계 상담이 늘어 보조 유입이 커졌다,상방,약,금융서비스
2024,5,2024-05,채널특이,"디지털에서 저관여 문의가 늘고, 종신 전환은 낮게 유지되었다",상방,약,디지털
2024,6,2024-06,채널특이,신채널이 특정 상품군 중심으로만 움직여 구성 편차가 커졌다,중립,약,신채널
2024,7,2024-07,거시/사회,소비자 물가 부담이 늘어 장기계약 검토가 신중해졌다,하방,중,전체
2024,8,2024-08,시장 자금 이동,주가 급등 이후 차익 실현 자금이 일부 보험 상담으로 돌아왔다,상방,중,연금저축
2024,9,2024-09,제도/규제,안내 절차 강화로 첫 상담 후 재접촉 간격이 길어졌다,하방,중,"FC, GA"
2024,10,2024-10,경쟁사 공격,경쟁사가 연금성 프로모션을 장기화해 저축성 문의가 분산되었다,하방,중,연금저축
2024,11,2024-11,계절성,입학·이사 시즌이 겹치며 가족형 문의가 소폭 늘었다,상방,약,건강
2024,12,2024-12,계절성,장마철에 외부 이동이 줄어 방문 상담이 감소했다,하방,약,FC
2025,1,2025-01,내부 운영,현장 보고 주기가 짧아져 월중 중간 점검이 활발해졌다,상방,약,전체
2025,2,2025-02,내부 운영,상품 설명 스크립트가 간소화되어 상담 소요 시간이 줄었다,상방,약,전체
2025,3,2025-03,거시/사회,소득 전망이 불안해지며 신규 계약보다 유지 상담이 많아졌다,하방,중,종신
2025,4,2025-04,시장 자금 이동,배당 기대가 높아지며 보험보다 금융상품 비교가 늘었다,하방,중,연금저축
2025,5,2025-05,경쟁사 공격,경쟁사가 건강형 신상품을 내세워 초회 문의를 빠르게 흡수했다,하방,중,건강
2025,6,2025-06,경쟁사 공격,경쟁사의 오프라인 설명회가 늘어 종신형 문의가 쏠렸다,하방,중,종신
2025,7,2025-07,채널특이,금융서비스 채널의 연계 자산 고객이 늘어 보완 판매가 쉬워졌다,상방,약,금융서비스
2025,8,2025-08,채널특이,AFC에서 고액 유지고객 상담이 몰려 평균 계약 규모가 커졌다,상방,중,AFC
2025,9,2025-09,채널특이,신채널이 특정 월에만 강하게 움직여 흐름이 들쭉날쭉했다,중립,약,신채널
2025,10,2025-10,제도/규제,사전고지 강화로 신규 문의는 줄었지만 품질은 좋아졌다,하방,약,전체
2025,11,2025-11,거시/사회,가계의 불확실성이 커져 설계 상담이 보수적으로 바뀌었다,하방,중,전체
2025,12,2025-12,내부 운영,월말 마감 독려 메시지가 늘어 후반부 실적이 올라갔다,상방,중,전체
2026,1,2026-01,내부 운영,교육과 점검이 동시에 진행돼 월중 리듬이 흔들렸다,하방,약,전체
2026,2,2026-02,계절성,명절 직전 선물성 문의가 늘어 단기 상담이 증가했다,상방,약,건강
2026,3,2026-03,계절성,명절 직후 휴식 영향으로 초반 유입이 잠시 줄었다,하방,약,전체
2026,4,2026-04,시장 자금 이동,안전자산 선호가 강해지며 보험성 검토가 소폭 늘었다,상방,약,종신
2026,5,2026-05,제도/규제,GA 1200%룰 도래에 따른 13차월 이연 시책 경쟁으로 당사 유입물량이 약해졌다,하방,강,전체
